country,field,disclosed_investment,estimated_investment
Norway,Healthcare and Life Sciences,38,289
Norway,Other,69,74
Norway,"Sales, retail, commerce, marketing",300,302
Norway,Telecommunications,30,61
Norway,Consumer goods,41,81
Norway,Data and analytics,1263,2600
Norway,Media and Entertainment,271,518
New Zealand,General purpose,1112,1913
New Zealand,Navigation and mapping,1051,1081
New Zealand,Data and analytics,1117,1935
New Zealand,Information Technology,1055,1168
New Zealand,Hardware,1061,1107
New Zealand,Software,1119,2011
New Zealand,Energy and natural resources,1050,1080
New Zealand,All,1257,2169
Philippines,All,58,75
Poland,Finance,59,112
Poland,"Sales, retail, commerce, marketing",96,213
Poland,Hardware,32,46
Poland,Software,262,667
Poland,All,446,887
Poland,"Mobile, platforms & Internet services",48,79
Poland,Healthcare and Life Sciences,38,87
Poland,General purpose,176,479
Poland,Information Technology,63,223
Poland,Data and analytics,253,626
Poland,Education,16,17
Portugal,"Sales, retail, commerce, marketing",30,163
Portugal,General purpose,183,519
Portugal,Hardware,27,50
Portugal,Data and analytics,180,636
Portugal,All,624,1109
Portugal,Information Technology,120,260
Portugal,Privacy and Security,93,100
Portugal,Finance,98,106
Portugal,Software,182,643
Romania,Software,48,70
Romania,General purpose,31,45
Romania,All,101,125
Romania,Data and analytics,33,50
Russia,All,99,190
Russia,Software,58,145
Russia,Data and analytics,60,148
Russia,General purpose,55,124
Saudi Arabia,Data and analytics,1319,18055
Saudi Arabia,Other,43,309
Saudi Arabia,"Mobile, platforms & Internet services",92,298
Saudi Arabia,Finance,76,1155
Saudi Arabia,"Sales, retail, commerce, marketing",137,346
Saudi Arabia,Community and Lifestyle,1039,1180
Saudi Arabia,Information Technology,124,16139
Saudi Arabia,Professional services,40,57
Saudi Arabia,Software,1306,18042
Saudi Arabia,All,2105,19316
Saudi Arabia,General purpose,102,512
Singapore,Privacy and Security,301,691
Singapore,Information Technology,1110,2603
Singapore,Education,49,50
Singapore,Real estate,27,147
Singapore,Energy and natural resources,145,610
Singapore,General purpose,5205,7804
Singapore,"Mobile, platforms & Internet services",3815,6737
Singapore,Biotechnology,38,70
Singapore,Navigation and mapping,59,69
Singapore,Media and Entertainment,1702,1909
Singapore,Manufacturing,105,277
Singapore,Software,5507,10546
Singapore,Agriculture,30,2041
Singapore,Community and Lifestyle,133,415
Singapore,Lending and Investments,51,91
Singapore,Transportation,37,188
Singapore,Hardware,647,3049
Singapore,Healthcare and Life Sciences,119,453
Singapore,Consumer goods,100,267
Singapore,"Sales, retail, commerce, marketing",1503,2012
Singapore,Finance,1455,1849
Singapore,Semiconductor,79,84
Singapore,All,10227,16003
Singapore,Professional services,2186,2481
Singapore,Robotics,63,105
Singapore,Other,738,1146
Singapore,Computer Vision,432,439
Singapore,Cyber Security,43,171
Singapore,Data and analytics,5184,10059
Serbia,Hardware,44,44
Serbia,Transportation,43,43
Serbia,All,53,97
Serbia,Software,45,88
Serbia,"Mobile, platforms & Internet services",44,44
Serbia,General purpose,45,45
Slovakia,General purpose,49,55
Slovakia,All,89,99
Slovakia,Data and analytics,48,55
Slovakia,Software,49,58
Slovenia,All,35,44
Sweden,"Mobile, platforms & Internet services",103,8565
Sweden,Robotics,42,2416
Sweden,Media and Entertainment,276,2686
Sweden,"Sales, retail, commerce, marketing",329,718
Sweden,Energy and natural resources,45,57
Sweden,Information Technology,3519,7571
Sweden,Hardware,4622,11818
Sweden,Software,4189,20481
Sweden,Gaming,34,37
Sweden,Transportation,368,7254
Sweden,Healthcare and Life Sciences,65,2472
Sweden,Data and analytics,4133,15505
Sweden,Finance,3436,7091
Sweden,Manufacturing,4582,4598
Sweden,Professional services,120,179
Sweden,Other,49,2449
Sweden,General purpose,4102,18816
Sweden,Consumer goods,16,2385
Sweden,All,9976,36798
Sweden,Community and Lifestyle,26,48
Thailand,Information Technology,44,51
Thailand,All,60,76
Thailand,Software,60,69
Thailand,Data and analytics,60,69
Thailand,General purpose,59,68
Trinidad and Tobago,All,27,43
Turkey,Software,59,286
Turkey,Data and analytics,43,260
Turkey,All,97,336
Turkey,General purpose,43,260
Taiwan,Healthcare and Life Sciences,31,80
Taiwan,Software,122,494
Taiwan,Data and analytics,89,461
Taiwan,Media and Entertainment,31,93
Taiwan,General purpose,89,453
Taiwan,All,351,784
Taiwan,Information Technology,52,277
Taiwan,"Mobile, platforms & Internet services",67,149
United States,Education,3222,15245
United States,Consumer goods,13180,33684
United States,Agriculture,3280,6653
United States,"Mobile, platforms & Internet services",38617,117738
United States,Professional services,22206,63560
United States,Telecommunications,1783,11296
United States,Sports,978,4165
United States,NLP,16164,32060
United States,Speech Recognition,776,2646
United States,Simulation,58,772
United States,General purpose,147077,371310
United States,Real estate,4305,13871
United States,Finance,33089,62405
United States,Cyber Security,10418,20686
United States,Computer Vision,6272,16500
United States,Healthcare and Life Sciences,15538,52299
United States,Biotechnology,9077,21950
United States,Hardware,44707,108375
United States,"Sales, retail, commerce, marketing",23717,81196
United States,Facial Recognition,235,1145
United States,Gaming,492,1904
United States,"Military, public safety and government",8085,14491
United States,Semiconductor,1737,4461
United States,Other,18386,54191
United States,Community and Lifestyle,3445,13622
United States,Lending and Investments,4975,9247
United States,Data and analytics,165987,436611
United States,Media and Entertainment,7561,30899
United States,Energy and natural resources,2489,12506
United States,Transportation,38263,59954
United States,All,425152,764953
United States,Software,169901,465243
United States,Information Technology,70509,189830
United States,Manufacturing,8537,21014
United States,Robotics,7766,18299
United States,Navigation and mapping,983,6234
United States,Privacy and Security,17120,39708
Vietnam,All,42,90
South Africa,Manufacturing,26,160
South Africa,Finance,112,194
South Africa,Lending and Investments,103,107
South Africa,All,490,983
South Africa,Software,179,637
South Africa,Data and analytics,178,631
South Africa,"Mobile, platforms & Internet services",103,221
South Africa,Information Technology,45,288
South Africa,Hardware,39,150
South Africa,General purpose,75,333
